,rank,bgg_id,page_views,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,arz,arz_rank,ast,ast_rank,az,az_rank,azb,azb_rank,ba,ba_rank,bar,bar_rank,bcl,bcl_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,eml,eml_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fo,fo_rank,fr,fr_rank,frp,frp_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,hak,hak_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,ht,ht_rank,hu,hu_rank,hy,hy_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jam,jam_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,kw,kw_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,li,li_rank,lt,lt_rank,lv,lv_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nrm,nrm_rank,nso,nso_rank,oc,oc_rank,olo,olo_rank,or,or_rank,os,os_rank,pa,pa_rank,pcd,pcd_rank,pih,pih_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,tcy,tcy_rank,te,te_rank,tg,tg_rank,th,th_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,wa,wa_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,xmf,xmf_rank,yi,yi_rank,za,za_rank,zh,zh_rank
10,11,2162,19993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,4,,,,,9,35,,,,,,,151,11,,,,,21,32,1292,21,,,,,,,,,9145,10,,,1,137,,,,,,,104,23,,,758,28,,,,,6,2,,,,,,,,,,,,,29,33,,,,,,,,,,,167,14,,,,,,,,,,,,,5,7,613,16,2,108,,,,,,,5,4,,,,,124,9,,,,,,,,,,,,,,,14,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86,47,7,8,,,,,,,,,,,,,,,,,,,,,597,9,,,,,192,24,,,9,13,5567,3,,,,,,,,,,,,,4,9,,,,,3,18,,,,,,,,,,,96,21,,,,,,,,,,,,,,,,,,,52,11,,,,,82,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,843,8
11,12,2243,19095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,10,,,,,,,,,,,,,,,11,32,,,,,,,,,,,,,,,6146,2,,,,,,,,,5601,20,,,,,,,,,,,,,,,2256,6,,,,,,,,,,,,,,,,,,,,,,,,,85,10,,,,,183,10,,,,,,,,,,,,,,,506,20,180,38,,,,,,,,,,,,,16,40,,,,,,,,,,,,,,,42,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,880,7,,,,,,,,,,,,,,,,,,,,,,,895,4,,,,,587,10,,,29,11,977,14,,,,,,,5,5,,,,,,,,,,,58,5,,,,,554,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,53
12,13,25821,18500,,,,,,,,,,,380,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4382,3,,,,,,,,,1363,72,10,8,1425,12,,,,,,,,,,,5301,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2431,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1382,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1740,5
13,14,181,16899,16,3,,,,,,,,,124,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,19,,,,,,,,,,,,,92,9,1982,13,,,,,,,,,9049,11,,,1307,14,,,7,3,,,85,26,,,1085,15,,,,,,,,,,,,,,,,,,,145,9,,,,,184,4,,,,,197,9,,,,,,,,,,,,,,,254,36,144,45,,,,,,,,,,,,,,,,,,,,,3,6,,,,,,,46,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,358,15,,,48,15,,,,,,,,,,,,,,,,,,,242,25,,,,,136,29,,,,,768,18,,,,,,,,,,,,,133,3,,,,,,,,,2,2,,,,,,,225,9,,,,,,,,,,,,,24,9,,,,,36,18,,,,,15,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172,24
14,15,320,16518,,,,,,,,,,,120,9,,,,,8,4,,,,,,,,,8,1,,,142,7,,,,,,,,,13,3,,,,,44,6,,,,,,,110,15,,,8,4,33,22,1467,19,,,,,209,6,,,6312,17,14,4,1317,13,20,10,,,48,15,239,8,,,1141,13,,,,,,,8,3,,,7,2,,,8,4,,,57,23,43,6,,,,,,,,,248,6,,,,,501,7,,,,,,,9,5,275,33,340,25,,,,,6,4,,,,,12,3,68,13,,,,,,,7,4,,,,,,,44,9,,,,,,,,,20,2,,,,,33,6,,,,,,,,,,,,,878,8,17,3,51,13,,,,,5,2,,,,,,,,,,,,,736,7,,,,,210,21,,,122,5,887,16,,,,,,,,,9,3,,,,,,,70,7,53,6,,,,,,,,,,,83,24,,,,,11,5,,,10,4,,,17,12,,,,,42,14,,,13,1,51,11,,,,,,,,,46,10,,,,,,,,,,,,,,,,,,,,,,,268,21
15,16,13,16342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,5,,,,,,,139,12,,,6,7,50,17,1493,18,,,,,10,12,,,7403,14,5,14,1720,9,,,4,9,,,,,5,2,787,25,,,,,,,,,,,,,,,,,,,687,3,,,,,,,,,,,168,13,,,,,,,,,,,,,,,307,28,1317,11,,,,,,,,,,,,,116,10,,,,,,,,,,,,,,,,,1,11,,,,,,,,,,,,,,,,,,,,,,,,,,,7,107,6,9,35,24,,,,,,,,,,,,,,,,,,,285,23,,,,,270,19,,,63,8,870,17,,,,,,,,,,,,,,,,,18,14,49,7,,,,,60,5,,,,,99,20,,,,,,,,,,,,,,,,,,,35,19,,,,,,,,,,,,,,,14,13,,,,,,,,,,,,,,,,,,,,,,,269,20
16,17,50381,15241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,25,,,,,,,,,,,12735,6,,,520,26,,,,,9,20,132,18,,,264,56,,,,,,,,,,,,,,,,,,,134,10,,,,,,,,,,,,,,,,,,,,,,,,,,,667,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,608,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,18,2425,14467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,,,,,,,14,24,,,,,,,67,19,,,,,98,8,1207,22,,,,,,,,,4247,26,1,38,1210,16,,,4,11,70,10,182,10,,,1042,16,,,,,,,,,,,,,,,,,,,123,13,,,,,,,,,,,160,15,,,,,,,,,,,,,,,686,11,629,17,,,,,,,,,,,,,10,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,251,22,,,,,,,,,,,,,,,,,,,,,,,314,22,,,,,653,8,,,133,4,2962,5,,,,,,,,,,,,,,,,,53,10,,,,,,,,,,,,,102,19,,,,,4,8,,,,,,,,,,,,,,,,,,,85,8,,,,,,,,,13,14,,,,,,,,,,,,,,,,,,,,,,,145,31
18,19,27443,12347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,16,,,,,,,62,20,,,24,2,44,19,996,30,,,,,,,,,765,100,11,6,520,25,31,7,,,,,96,25,,,408,43,,,,,,,,,,,,,,,,,,,,,,,,,55,12,,,,,,,,,,,,,,,,,,,,,445,23,1880,6,,,,,,,,,,,,,2460,1,,,,,,,,,,,,,,,,,44,6,,,,,,,,,,,,,,,,,,,,,,,,,,,223,25,,,,,,,,,,,,,,,,,,,,,,,353,19,,,,,364,15,,,,,688,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2809,1
19,20,5072,11883,,,,,,,,,,,2,22,,,,,,,,,,,,,,,,,,,10,17,,,,,86,2,,,,,,,,,4,60,,,,,,,,,,,,,118,7,598,44,,,,,,,,,8082,12,8,11,120,58,,,,,,,,,,,385,45,,,,,,,,,,,,,,,19,2,,,,,918,2,,,,,,,,,,,,,,,182,9,,,,,,,,,105,68,362,23,,,,,,,,,,,,,28,25,,,,,,,,,,,,,,,,,,,,,9,1,,,20,3,,,299,2,,,,,,,,,,,,,,,53,59,5,13,96,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130,50,,,,,,,,,,,,,,,16,2,,,,,,,,,,,,,,,23,49,,,,,64,2,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137,33
20,21,811,10798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,10,,,,,,,33,27,,,,,,,1314,20,,,,,,,,,3452,32,,,1502,11,,,,,,,144,15,,,1112,14,,,,,,,,,,,,,3,3,,,,,503,4,,,,,,,,,,,139,18,,,,,,,,,,,,,,,68,86,195,34,,,,,,,,,,,,,225,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,889,6,,,19,29,,,,,,,,,,,,,,,,,,,380,15,,,,,441,13,,,62,9,280,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,22,2136,10496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116,8,,,,,,,,,,,,,,,,,,,,,,,301,6,,,,,,,2719,10,,,,,,,,,3049,38,3,25,245,42,,,,,549,4,,,,,265,55,,,,,,,,,,,,,,,,,,,,,,,,,148,6,,,,,300,5,,,,,,,,,,,,,,,331,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3,,,,,,,,,,,,,,,,,,,,,1089,4,,,,,,,,,,,,,,,,,,,,,,,819,5,,,,,,,,,,,104,59,,,,,,,,,,,,,30,7,,,113,3,,,,,,,,,2,4,,,228,8,,,,,,,,,,,,,,,,,,,35,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,52
22,23,3886,9664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161,5,,,,,,,,,,,,,,,12,30,,,,,,,,,,,,,86,10,4301,5,,,,,,,,,17,950,7,12,324,35,11,14,,,62,11,127,19,,,533,34,,,,,4,4,,,,,,,,,,,,,42,28,,,,,,,,,,,843,2,,,,,,,,,,,,,,,624,14,97,52,,,,,,,,,,,,,22,36,,,,,,,,,13,2,,,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117,39,2,15,86,9,,,,,,,,,,,,,,,,,,,279,24,,,,,1261,3,,,150,3,207,40,,,,,,,,,,,,,,,,,58,8,15,12,,,,,29,7,,,,,58,31,,,,,,,,,,,,,,,,,,,54,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,45
23,24,822,9033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,13,,,,,,,,,,,,,,,11,31,,,,,,,,,,,2,8,9,44,1747,14,,,,,14,10,,,3064,37,3,24,443,27,,,,,,,178,11,,,444,39,,,,,,,,,,,,,,,,,,,39,29,,,,,,,,,,,113,22,,,,,,,,,,,,,,,458,22,474,20,,,,,,,,,,,,,58,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,298,18,5,12,46,19,,,,,,,,,,,,,,,,,,,372,18,,,,,109,32,,,,,627,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173,14,,,,,,,,,,,,,,,,,,,,,,,,,2,46,,,,,,,,,6,19,,,,,,,,,,,,,,,,,,,,,,,313,16
24,25,2719,8992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,86,,,,,,,9,45,,,,,16,36,583,45,,,,,,,,,6468,16,1,40,381,30,,,,,,,23,53,,,674,32,,,,,,,,,,,,,,,,,,,56,24,,,,,,,,,,,24,33,,,,,,,,,,,,,,,200,41,,,,,,,,,,,,,,,19,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83,48,,,,,,,,,,,,,,,,,,,,,,,42,47,,,,,,,,,,,209,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,37,,,,,,,,,,,,,,,,,,,,,,,,,4,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162,28
25,26,2392,8855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,23,,,,,,,117,14,,,,,,,972,31,,,,,7,13,,,4662,24,,,354,31,,,4,10,92,9,70,31,,,1029,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,27,,,,,,,,,,,,,,,282,32,189,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301,17,,,47,16,,,,,,,,,,,,,,,,,,,343,20,,,,,145,26,,,,,,,,,,,,,,,,,,,,,,,6,22,,,,,,,10,10,,,,,88,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89,37
