,rank,bgg_id,page_views,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,arz,arz_rank,as,as_rank,ast,ast_rank,az,az_rank,azb,azb_rank,ba,ba_rank,bar,bar_rank,bcl,bcl_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,diq,diq_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,eml,eml_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fj,fj_rank,fo,fo_rank,fr,fr_rank,frp,frp_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gcr,gcr_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,hak,hak_rank,haw,haw_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,ht,ht_rank,hu,hu_rank,hy,hy_rank,hyw,hyw_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jam,jam_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,kw,kw_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,lfn,lfn_rank,li,li_rank,lt,lt_rank,lv,lv_rank,mai,mai_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nov,nov_rank,nrm,nrm_rank,nso,nso_rank,oc,oc_rank,olo,olo_rank,or,or_rank,os,os_rank,pa,pa_rank,pcd,pcd_rank,pih,pih_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,rm,rm_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,sat,sat_rank,sc,sc_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,tcy,tcy_rank,te,te_rank,tg,tg_rank,th,th_rank,ti,ti_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,wa,wa_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,xmf,xmf_rank,yi,yi_rank,za,za_rank,zh,zh_rank
11,12,2425,30427,,,,,,,,,,,221,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,4,,,,,,,106,5,,,,,,,257,8,,,,,135,11,2191,17,,,,,,,,,,,7731,23,7,22,3540,10,,,13,6,159,10,274,9,,,,,3011,8,,,,,,,,,,,,,,,,,,,,,,,178,15,,,,,,,,,,,281,9,,,,,,,,,,,,,,,,,1835,6,1477,15,,,,,,,,,,,,,14,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,435,22,,,,,,,,,,,,,,,,,,,,,,,,,1353,7,,,,,1379,4,,,,,453,3,4522,5,,,,,,,,,,,,,,,,,,,,,96,7,,,,,,,,,,,,,178,17,,,,,6,8,,,,,,,,,,,,,,,,,,,,,329,4,,,,,,,,,51,16,,,,,,,,,,,,,,,,,,,,,,,189,30
12,13,13,28697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66,13,,,,,,,142,19,,,4,9,43,22,2131,18,,,,,,,81,9,,,14113,12,6,24,2442,15,,,6,11,,,65,36,,,5,2,1123,24,,,,,,,,,,,,,9,3,,,,,,,,,1272,4,,,,,,,,,,,166,15,,,2,1,,,,,,,,,,,,,415,34,2212,12,,,,,,,,,,,,,112,13,,,,,,,,,,,,,,,,,,,12,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1373,7,14,6,79,11,,,,,,,,,,,,,,,,,,,,,307,24,,,,,451,14,,,,,74,9,1150,17,,,,,,,,,,,,,,,,,,,,,17,18,24,13,,,,,61,10,,,,,221,12,,,,,,,,,,,,,,,,,,,,,56,19,,,,,,,,,,,,,,,21,27,,,,,,,,,,,,,,,,,,,,,,,422,22
13,14,2243,28351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,12,,,,,,,,,,,,,,,15,47,,,,,,,,,,,,,,,5074,4,,,,,,,,,,,10686,18,,,,,,,,,,,,,,,,,3575,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,196,9,,,,,182,14,,,,,,,,,,,,,,,,,784,18,628,26,,,,,,,,,,,,,11,68,,,,,,,,,,,,,,,,,66,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1750,2,,,,,,,,,,,5,7,,,,,,,,,,,,,1671,4,,,,,850,12,,,,,51,11,1254,16,,,,,,,,,,,9,5,,,,,,,,,,,81,4,,,,,1299,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94,47
14,15,811,27617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,7,,,,,,,25,39,,,,,,,2403,13,,,,,,,,,,,8597,22,4,36,3003,13,,,,,,,190,17,,,,,2305,12,,,,,,,,,,,,,,,6,5,,,,,,,1612,2,,,,,,,,,,,256,10,,,,,,,,,,,,,,,,,179,57,844,22,,,,,,,,,,,,,284,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1629,3,,,16,33,,,,,,,,,,,,,,,,,,,,,653,14,,,,,921,8,,,,,571,2,508,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3464,2
15,16,181,25138,8,6,,,,,,,,,352,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,17,,,,,,,,,,,,,139,10,2307,14,,,,,,,,,,,13164,14,,,3560,9,,,4,14,,,66,35,,,,,1609,15,,,,,,,,,,,,,,,,,,,,,,,217,10,,,,,333,5,,,,,101,21,,,,,,,,,,,,,,,,,216,53,225,49,,,,,,,,,,,,,,,,,,,,,4,9,,,,,,,,,29,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,558,19,,,54,19,,,,,,,,,,,,,,,,,,,,,217,27,,,,,264,24,,,,,,,719,23,,,,,,,,,,,,,,,,,397,2,,,,,,,,,2,3,,,,,,,218,13,,,,,,,,,,,,,16,14,,,,,,,47,22,,,,,49,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221,26
16,17,1294,24256,,,,,,,,,,,91,18,,,,,,,5,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,20,,,,,,,,,,,,,46,20,1237,27,,,,,,,,,,,14734,10,12,13,1248,24,,,4,15,123,12,199,16,,,,,2833,9,,,,,,,,,,,,,,,8,4,,,,,,,190,14,,,,,,,,,,,122,17,,,,,,,29,14,,,,,6,6,,,1037,10,,,,,,,,,,,,,,,321,3,,,,,,,,,,,,,,,,,,,8,12,,,,,,,,,,,,,,,4,10,,,,,,,,,,,,,639,15,,,30,26,,,,,,,5,6,,,,,,,,,,,,,41,63,,,,,,,,,,,,,781,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,11,,,,,130,21,,,,,,,,,,,,,28,11,,,,,,,31,26,,,,,20,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202,28
17,18,463,23181,15,5,16,3,,,,,,,,,,,,,,,,,10,6,,,,,,,,,,,33,17,,,,,,,,,17,4,,,,,34,22,,,,,,,192,12,,,,,53,18,1922,21,,,,,,,,,,,10133,19,6,26,1092,26,18,17,10,8,21,21,104,29,,,,,1132,23,,,,,,,,,,,,,,,,,,,,,,,86,25,,,,,32,14,,,,,77,23,,,,,,,43,12,,,,,,,,,867,15,2927,8,,,,,,,,,,,,,38,30,,,,,,,13,5,,,,,,,,,28,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,244,33,11,8,43,23,,,,,,,,,,,,,,,,,,,,,313,23,,,,,850,11,,,,,,,1353,15,,,,,,,,,,,,,,,,,,,,,,,25,11,,,,,21,16,,,,,138,20,,,,,,,,,,,,,71,9,,,,,,,77,15,,,,,75,12,,,,,,,,,64,14,,,,,,,,,,,,,,,,,,,,,,,977,11
18,19,5072,22935,,,,,,,,,,,2960,3,,,,,,,,,,,,,,,,,,,,,18,21,,,,,379,2,,,,,,,,,12,53,,,,,,,,,,,,,161,8,873,37,,,,,,,,,,,14528,11,13,10,183,65,,,,,27,19,,,,,,,464,50,,,,,,,,,,,,,,,,,198,2,,,,,,,1028,2,,,,,,,,,,,,,,,,,246,9,,,,,,,,,125,72,363,38,,,,,,,,,,,,,62,21,,,,,,,,,,,,,,,,,,,,,,,,,20,2,,,131,2,,,220,2,43,6,,,,,,,,,,,,,75,66,7,10,89,10,,,,,,,,,,,,,,,,,,,,,,,,,,,39,55,,,,,,,129,60,,,,,,,,,,,,,,,,,,,65,2,,,,,,,,,,,,,,,27,57,,,,,375,3,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66,62
19,20,178900,22833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,32,,,,,,,93,21,,,,,,,1113,31,,,,,,,,,,,17973,6,,,,,,,,,,,,,,,,,827,27,,,,,,,,,,,,,,,,,,,,,,,436,7,,,,,,,,,,,25,40,,,,,,,,,,,,,,,,,250,44,230,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163,41,,,,,,,,,,,,,,,,,,,,,,,,,115,36,,,,,,,,,,,,,1542,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,21,25821,21447,,,,,,,,,,,1016,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2079,19,,,,,,,,,,,1475,87,20,5,1450,22,,,,,,,,,,,,,6809,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4281,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1567,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,191,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,285,7,,,,,,,,,,,,,,,,,,,,,,,2274,6
21,22,29351,21227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,6,,,,,,,,,,,,,,,,,,,,,,,,,150,18,,,,,,,2967,10,,,,,,,,,,,3674,47,,,348,47,90,4,,,,,105,28,,,,,383,56,,,,,,,,,,,,,,,,,,,,,,,367,9,,,,,,,,,,,47,29,33,5,,,,,,,,,,,,,,,,,198,55,,,,,,,,,,,,,26,40,,,,,,,,,,,,,,,,,201,2,104,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189,35,,,,,,,,,,,,,,,,,,,,,,,,,823,9,,,,,,,,,,,,,10163,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,34,,,,,,,,,,,,,,,,,,,,,,,,,,,801,1,,,,,,,,,413,6,,,,,,,,,,,,,,,,,,,,,,,76,56
22,23,289363,21104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20962,4,,,,,,,,,,,,,,,,,142,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,24,3886,17048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,372,4,,,,,,,,,,,,,,,72,11,,,,,,,243,9,,,,,60,16,4226,6,,,,,,,,,,,3248,50,3,40,944,30,32,11,13,7,155,11,201,15,,,,,799,30,,,,,8,4,,,,,,,,,,,,,,,,,33,40,,,,,,,,,,,795,2,,,,,,,,,,,,,,,,,1538,7,431,34,,,,,,,,,,,,,23,45,,,,,,,,,16,2,,,4,15,10,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173,39,4,14,75,12,,,,,,,,,,,,,,,,,,,,,331,21,,,,,1196,5,,,,,416,4,271,40,,,,,,,,,,,,,,,,,,,,,75,9,25,12,,,,,769,2,,,,,79,28,,,,,,,,,,,,,,,,,,,,,294,9,12,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102,45
