,rank,bgg_id,page_views,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,ary,ary_rank,arz,arz_rank,as,as_rank,ast,ast_rank,avk,avk_rank,awa,awa_rank,az,az_rank,azb,azb_rank,ba,ba_rank,bar,bar_rank,bcl,bcl_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,diq,diq_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,eml,eml_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fj,fj_rank,fo,fo_rank,fr,fr_rank,frp,frp_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gcr,gcr_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,hak,hak_rank,haw,haw_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,ht,ht_rank,hu,hu_rank,hy,hy_rank,hyw,hyw_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jam,jam_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,kw,kw_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,lfn,lfn_rank,li,li_rank,lmo,lmo_rank,lt,lt_rank,lv,lv_rank,mai,mai_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nov,nov_rank,nrm,nrm_rank,nso,nso_rank,oc,oc_rank,olo,olo_rank,or,or_rank,os,os_rank,pa,pa_rank,pcd,pcd_rank,pih,pih_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,rm,rm_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,sat,sat_rank,sc,sc_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,tcy,tcy_rank,te,te_rank,tg,tg_rank,th,th_rank,ti,ti_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,wa,wa_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,xmf,xmf_rank,yi,yi_rank,za,za_rank,zh,zh_rank
10,11,463,22614,5,7,16,2,,,,,,,30,23,,,,,,,,,,,,,,,17,4,,,,,,,,,,,19,16,,,,,,,,,9,4,,,,,34,15,,,,,,,280,5,,,,,41,17,1546,16,,,,,,,,,,,10709,10,4,33,903,20,12,13,6,15,12,22,119,18,,,,,1109,13,,,,,,,,,,,,,,,,,,,,,,,89,21,,,,,20,15,,,,,81,18,,,,,,,29,12,,,,,,,,,903,7,2932,3,,,,,,,,,,,,,38,24,5,3,,,,,7,7,,,,,,,,,,,9,12,,,,,,,,,,,,,,,,,6,11,,,,,,,,,,,,,284,19,6,14,31,20,,,,,,,,,,,,,,,,,,,,,325,17,,,,,763,6,,,,,,,858,16,,,,,,,,,,,,,,,,,,,,,,,24,10,,,,,25,16,,,,,104,16,,,,,,,,,,,,,67,10,,,,,,,80,18,,,,,64,13,,,,,,,,,40,18,,,,,,,,,,,,,,,,,,,,,,,953,16
11,12,2425,20177,,,,,,,,,,,120,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,,,,,,,23,22,,,,,,,248,8,,,,,50,15,1382,21,,,,,,,,,,,5986,18,7,22,2541,6,,,7,13,164,9,249,7,,,,,970,15,,,,,6,5,,,,,,,,,,,,,,,,,132,11,,,,,,,,,,,168,10,11,8,,,,,,,,,,,,,,,969,6,512,21,,,,,,,,,,,,,27,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,257,20,,,,,,,,,,,,,,,,,,,,,,,,,544,9,,,,,928,4,,,,,214,3,3325,6,,,,,,,,,,,,,,,,,,,,,64,8,,,,,,,,,,,,,186,10,,,,,8,7,,,,,,,,,,,,,,,185,10,,,,,434,3,,,,,,,,,38,19,,,,,,,,,,,,,,,,,,,,,,,418,24
12,13,1294,19978,,,,,,,,,,,36,22,,,,,,,,,8,7,,,,,,,,,,,,,,,,,6,24,,,,,,,,,,,,,,,40,13,,,,,,,,,,,,,42,16,984,25,,,,,,,,,,,13965,5,4,35,842,22,,,10,7,97,12,126,16,,,,,1450,10,,,,,,,,,,,,,,,3,10,,,,,,,131,12,,,,,,,,,,,77,20,,,,,,,24,14,,,,,3,5,17,5,560,13,,,,,,,,,,,,,,,119,8,,,,,,,,,,,,,,,,,,,,,19,12,,,,,,,5,4,,,,,,,11,10,,,,,,,,,,,,,377,17,,,19,29,,,,,,,5,6,,,,,,,,,,,,,24,66,,,,,,,,,,,,,365,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66,9,,,,,139,11,,,,,,,,,,,,,43,12,,,,,,,12,38,,,,,16,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,333,26
13,14,5072,18188,,,,,,,,,,,431,7,,,,,,,,,,,,,,,,,,,,,,,,,,,29,14,,,,,170,2,,,,,,,,,6,71,,,,,,,,,,,,,94,8,854,29,,,,,,,,,,,13956,6,4,39,136,58,,,,,24,17,,,,,,,347,45,,,,,,,,,,,,,,,,,81,2,,,,,,,392,2,,,,,,,,,,,,,,,,,133,10,,,,,,,,,102,62,242,32,,,,,,,,,,,,,32,30,,,,,,,,,,,,,,,,,,,,,,,,,,,49,2,,,50,2,,,146,2,117,5,,,,,,,,,,,,,57,60,10,8,69,10,,,,,,,,,,,,,,,,,,,,,,,,,,,45,48,,,,,,,129,53,,,,,,,,,,,,,,,,,,,37,2,,,,,,,,,,,,,,,28,48,,,,,251,3,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160,44
14,15,320,17623,,,,,,,,,,,101,16,,,,,,,,,18,5,,,,,,,,,,,,,9,1,,,94,8,,,,,,,,,24,3,,,,,59,4,,,,,,,166,11,,,13,4,31,24,1550,15,,,,,,,137,6,,,6786,14,20,3,1405,13,20,9,8,9,67,15,159,12,,,,,2424,6,,,,,7,4,7,3,,,,,10,2,12,4,21,3,,,,,60,25,65,5,,,,,,,,,268,6,,,,,,,174,8,,,,,,,7,10,227,30,389,25,,,,,10,6,,,,,18,2,59,17,,,,,,,9,4,,,,,,,,,,,20,9,22,10,,,,,,,,,8,6,,,,,114,6,,,,,,,,,,,,,568,9,11,3,36,18,,,,,,,14,3,,,,,,,,,,,,,394,15,,,,,206,19,,,,,87,8,874,15,,,,,,,,,,,,,7,3,,,,,,,81,5,67,4,,,,,26,15,,,,,73,27,,,,,12,6,,,,,,,45,11,,,,,24,2,45,26,,,14,1,38,22,,,,,,,,,79,15,,,,,,,,,,,9,6,,,,,,,,,,,315,27
15,16,29351,16583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,6,,,,,,,,,,,,,,,,,7,66,,,,,,,70,22,,,,,,,2775,8,,,,,,,,,,,2852,39,,,194,47,80,3,,,,,117,20,,,,,307,47,,,,,,,,,,,,,,,,,,,,,,,205,9,,,,,,,,,,,49,22,48,5,,,,,,,,,,,,,,,,,122,50,,,,,,,,,,,,,22,38,,,,,,,,,,,,,,,,,,,143,2,79,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102,43,,,,,,,,,,,,,,,,,,,,,,,,,515,10,,,,,,,,,,,,,7427,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,37,,,,,,,,,,,,,,,,,,,,,,,,,,,673,1,,,,,,,,,656,4,,,,,,,,,,,,,,,,,,,,,,,88,59
16,17,13,16491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,5,,,,,,,74,21,,,7,6,24,30,1552,14,,,,,,,42,11,,,7759,11,3,41,1761,8,,,14,3,,,19,61,,,5,2,487,30,,,,,,,,,,,,,3,4,,,,,,,,,503,5,,,,,,,,,,,102,13,,,3,1,,,,,,,,,,,,,249,26,1047,13,,,,,,,,,,,,,44,21,,,,,,,,,,,,,,,,,,,,,27,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,527,12,10,6,28,22,,,,,,,,,,,,,,,,,,,,,218,25,,,,,284,15,,,,,45,10,601,18,,,,,,,,,,,,,,,,,,,,,22,16,38,7,,,,,40,12,,,,,113,15,,,,,,,,,,,,,,,,,,,,,45,25,,,,,30,25,,,,,,,,,40,17,,,,,,,,,,,,,,,,,,,,,,,672,17
17,18,2243,16239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,13,,,,,,,,,,,,,,,9,54,,,,,,,,,,,,,,,3203,5,,,,,,,,,,,6338,17,,,,,,,,,,,9,106,,,,,1166,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121,9,,,,,94,15,,,,,,,,,,,,,,,,,544,14,616,17,,,,,,,,,,,,,10,63,,,,,,,,,,,,,,,,,,,61,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,918,4,,,,,,,,,,,3,8,,,,,,,,,,,,,984,5,,,,,485,10,,,,,21,13,899,14,,,,,,,,,,,3,6,,,,,,,,,,,55,5,,,,,451,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219,35
18,19,2136,13771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159,6,,,,,,,,,,,,,,,,,,,,,,,269,6,,,,,,,2830,7,,,,,,,,,,,4872,25,9,16,258,39,,,,,1689,4,,,,,,,435,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159,6,,,,,192,9,3,13,,,,,,,,,,,,,,,230,28,,,,,,,,,,,,,,,7,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,3,,,,,,,,,,,,,,,,,,,,,716,6,,,,,,,,,,,,,,,,,,,,,,,,,861,6,,,,,,,,,,,,,59,79,,,,,,,,,,,,,,,,,14,7,,,93,4,,,,,10,3,187,4,3,4,,,300,6,,,,,,,,,,,,,,,,,,,,,305,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95,55
19,20,181,12108,20,3,,,,,,,,,186,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,23,,,,,,,,,,,,,60,11,1191,23,,,,,,,,,,,6704,15,,,966,19,,,5,17,,,53,31,,,,,666,21,,,,,,,,,,,,,,,,,,,,,,,105,15,,,,,125,8,,,,,46,23,,,,,,,,,,,,,,,,,134,48,142,45,,,,,,,,,,,,,,,,,,,,,2,10,,,,,,,,,,,9,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207,26,,,26,23,,,,,,,,,,,,,,,,,,,,,120,30,,,,,147,25,,,,,,,633,17,,,,,,,,,,,,,,,,,107,4,,,,,,,,,1,5,,,,,,,93,17,,,,,,,,,,,,,12,18,,,,,,,70,21,,,,,38,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,218,36
20,21,25821,11146,,,,,,,,,,,417,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1389,20,,,,,,,,,,,1005,91,21,2,850,21,,,,,,,,,,,,,3261,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2188,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1030,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,307,9,,,,,,,,,,,,,,,,,,,,,,,563,19
21,22,3886,10641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203,3,,,,,,,,,,,,,,,22,25,,,,,,,161,12,,,,,59,12,2420,9,,,,,,,,,,,2738,42,2,50,369,36,23,7,7,14,115,10,182,10,,,,,563,27,,,,,3,6,,,,,,,,,,,,,,,,,19,50,,,,,,,,,,,562,2,,,,,,,,,,,,,,,,,632,9,230,33,,,,,,,,,,,,,34,28,,,,,,,,,16,2,,,16,4,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126,33,7,12,62,12,,,,,,,,,,,,,,,,,,,,,247,22,,,,,597,7,,,,,162,5,270,36,,,,,,,,,,,,,,,,,,,,,48,11,13,14,,,,,254,3,,,,,71,29,,,,,,,,,,,,,,,,,,,,,269,8,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129,48
22,23,178900,9876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,69,,,,,,,49,28,,,,,,,799,32,,,,,,,,,,,6515,16,,,,,,,,,,,,,,,,,364,44,,,,,,,,,,,,,,,,,,,,,,,240,8,,,,,,,,,,,21,41,,,,,,,,,,,,,,,,,114,56,1146,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,67,,,,,,,,,,,,,,,,,,,,,,,,,98,34,,,,,,,,,,,,,435,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
