bgg_id,page_views,rank,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,arz,arz_rank,ast,ast_rank,az,az_rank,azb,azb_rank,ba,ba_rank,bar,bar_rank,bcl,bcl_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,eml,eml_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fo,fo_rank,fr,fr_rank,frp,frp_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,hak,hak_rank,haw,haw_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,ht,ht_rank,hu,hu_rank,hy,hy_rank,hyw,hyw_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jam,jam_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,lfn,lfn_rank,li,li_rank,lt,lt_rank,lv,lv_rank,mai,mai_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nov,nov_rank,nrm,nrm_rank,nso,nso_rank,oc,oc_rank,olo,olo_rank,or,or_rank,os,os_rank,pa,pa_rank,pcd,pcd_rank,pih,pih_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,rm,rm_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,sat,sat_rank,sc,sc_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,tcy,tcy_rank,te,te_rank,tg,tg_rank,th,th_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,wa,wa_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,xmf,xmf_rank,yi,yi_rank,za,za_rank,zh,zh_rank
171,102217,1,129,1,63,1,34,1,34,1,28,1,2465,1,34,1,26,1,50,1,301,1,64,1,34,1,33,1,,,63,1,389,2,120,1,133,1,446,1,20,1,62,1,299,1,35,1,182,1,33,1,21,1,38,1,640,2,31,1,65,1,372,1,5263,1,28,1,32,1,350,4,30,1,27938,1,69,1,12465,1,403,1,94,1,1475,3,1264,1,32,1,3393,1,,,31,1,36,1,54,1,34,1,28,1,41,1,197,1,35,1,,,1684,1,2903,1,131,1,361,2,35,1,27,1,899,1,343,1,,,39,1,1575,1,33,1,37,1,25,1,83,1,4141,2,2625,3,39,1,39,1,38,2,322,1,295,1,107,1,332,3,29,1,49,1,53,1,50,1,32,1,30,1,34,1,303,2,211,1,30,1,30,1,12,2,106,1,94,1,124,1,1296,1,143,2,33,1,45,1,30,1,31,1,38,1,19,1,918,6,30,1,784,1,25,1,,,27,1,25,1,26,1,22,1,38,1,33,1,,,24,1,2011,2,24,1,37,1,4581,2,24,1,36,1,333,1,4454,3,30,1,42,1,33,1,27,1,25,1,32,1,33,1,53,1,183,2,76,1,264,1,184,1,,,156,1,451,2,,,19,3,1174,2,47,1,,,208,1,,,243,1,4,1,460,3,39,1,259,1,359,2,48,1,,,690,1,76,1,753,1,34,1,33,1,1799,1,,,25,1,,,26,2,,,37,1,27,1,43,1,23,1,32,1,,,2247,5
2223,59309,2,,,,,,,,,,,636,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,13,,,,,,,1047,1,,,,,167,5,2172,10,,,,,,,,,12167,4,,,3846,2,,,,,2808,2,1172,2,,,3343,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,3,,,,,179,8,,,,,,,,,9604,1,2356,6,,,,,6,6,,,,,,,,,,,,,,,,,,,,,,,313,1,,,,,,,,,,,12,4,,,,,55,5,,,,,,,,,,,,,606,11,,,471,2,,,,,,,,,,,,,,,,,,,,,3627,1,,,,,6722,1,,,,,,,1720,7,,,,,,,,,,,,,,,,,,,8,4,,,171,2,,,,,78,6,,,,,253,8,,,,,,,,,,,,,404,4,,,,,2664,1,,,,,248,4,,,,,,,,,721,2,,,,,,,,,,,5,7,,,,,,,,,,,1647,8
1406,43878,3,25,2,,,,,,,,,10,19,,,,,11,4,53,3,,,,,,,,,,,242,3,,,,,,,,,,,,,,,51,5,,,,,,,145,11,,,28,2,171,4,2903,7,,,,,464,2,,,20159,2,12,8,2860,4,46,6,32,5,244,6,651,4,,,2367,6,34,1,,,,,10,2,,,,,,,,,,,,,465,5,,,,,302,3,,,,,176,10,24,4,,,12,3,1527,2,,,,,,,12,4,1642,5,2176,8,,,20,2,12,3,,,,,,,,,,,,,11,3,,,,,,,,,77,4,25,7,,,,,,,,,,,,,,,47,6,,,,,,,,,,,,,1215,2,10,8,271,3,,,,,,,,,,,,,,,,,,,,,385,14,,,,,725,7,,,,,79,7,1655,8,,,,,,,,,,,10,2,13,2,,,243,1,,,29,12,46,8,,,,,163,4,,,,,715,4,,,,,,,,,,,,,,,,,,,80,8,,,,,100,8,10,4,,,,,,,202,8,,,,,,,8,4,,,8,5,,,,,,,10,3,,,855,11
10816,41643,4,,,,,,,,,,,317,6,,,,,28,2,,,,,,,30,2,,,26,2,198,5,,,,,,,,,,,32,2,,,91,2,,,,,,,381,4,,,,,154,7,3938,4,,,,,85,7,,,11053,7,,,3061,3,79,4,,,586,5,450,5,,,2710,4,,,,,,,,,,,,,,,,,,,,,483,4,64,6,,,156,7,,,,,420,2,,,,,,,258,7,,,,,,,,,2452,4,2624,4,,,,,,,,,,,25,2,226,4,,,,,,,,,,,,,,,,,74,3,,,,,,,,,,,,,,,,,,,,,,,,,27,2,,,862,8,27,2,215,4,,,26,1,,,,,,,,,,,,,,,,,1421,3,,,,,1456,3,,,,,210,2,3477,4,,,,,,,,,,,,,,,,,34,6,,,127,3,,,,,,,63,7,,,,,748,3,,,,,,,,,28,3,,,,,,,25,2,86,7,,,,,134,7,,,,,,,,,278,7,,,,,,,30,1,,,25,2,,,,,,,,,,,2343,4
2397,36688,5,14,3,16,3,,,15,2,,,869,2,,,,,14,3,129,2,,,16,2,,,,,13,4,466,1,,,,,19,6,,,17,2,30,3,,,38,11,,,16,2,17,2,293,6,,,13,3,364,2,3914,5,,,,,372,3,,,13562,3,16,3,1859,7,42,7,53,2,3115,1,200,8,,,1525,10,,,,,15,2,,,,,,,21,2,,,,,,,724,2,,,11,2,166,5,,,,,317,4,50,2,,,16,2,43,13,,,,,9,3,16,2,1074,7,1353,10,,,,,,,61,2,18,2,,,37,27,16,2,,,11,4,,,,,14,2,14,2,42,6,48,4,,,,,,,85,2,11,6,,,,,14,10,,,,,,,,,,,,,446,14,14,3,195,5,,,,,,,6,4,,,,,,,11,2,,,,,1174,5,13,2,,,631,8,,,,,,,1216,11,,,,,,,,,,,8,4,,,,,37,5,,,88,6,48,7,,,,,111,5,,,,,399,5,19,3,,,26,4,,,,,,,87,7,,,9,4,234,4,,,,,87,9,14,3,,,,,14,2,80,11,20,1,,,,,10,3,,,12,4,,,,,,,11,2,,,465,15
2181,26707,6,,,,,,,,,,,,,,,,,,,,,,,9,3,,,,,,,217,4,,,,,,,,,,,,,,,43,8,,,,,,,135,12,,,,,185,3,1662,14,,,,,315,5,,,6989,13,15,4,1346,14,154,2,17,7,,,194,9,,,2120,7,,,,,,,,,,,,,,,,,,,,,266,8,,,,,102,9,,,,,260,6,,,,,,,395,5,,,,,,,15,3,875,11,1226,11,,,,,,,49,3,,,,,54,15,,,,,,,,,,,,,12,3,38,7,43,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1032,5,6,11,152,6,,,,,,,,,,,,,,,,,,,,,1349,4,,,,,324,16,,,,,115,5,1827,6,,,,,,,,,,,8,3,,,,,39,4,,,72,7,48,6,,,,,58,8,15,1,,,3014,1,,,,,,,,,,,,,216,6,,,,,100,6,,,,,152,6,16,2,,,,,,,,,,,,,,,,,,,7,6,,,,,,,,,,,1421,9
2093,25890,7,,,,,,,,,,,55,13,,,,,,,13,5,,,,,,,,,,,46,11,,,,,21,5,9,2,,,,,,,21,22,14,2,,,,,82,20,,,,,44,19,933,24,,,,,,,,,11048,8,9,12,1539,10,,,,,66,15,86,26,,,839,16,,,,,,,,,13,2,,,,,,,9,2,,,74,21,16,7,,,26,14,,,,,69,19,10,7,,,,,122,10,,,,,,,,,604,19,4088,1,,,16,3,10,4,,,1,4,,,142,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,7,,,,,,,,,,,,,270,19,,,46,17,,,,,,,,,,,,,,,,,,,,,341,17,,,,,462,10,,,,,,,1029,13,,,,,9,2,,,,,,,,,,,,,,,33,11,15,13,,,,,,,9,2,,,151,14,,,10,1,,,,,,,,,275,5,,,,,32,14,,,,,61,11,,,,,,,,,441,4,,,,,,,,,,,12,3,,,,,,,,,12,1,2622,3
463,24991,8,,,18,2,,,,,,,,,,,,,,,19,4,,,,,,,,,,,36,14,,,,,,,,,12,4,,,,,38,9,,,,,,,226,8,,,,,79,9,2000,13,,,,,,,,,12005,6,13,7,1131,16,28,11,28,6,18,20,116,18,,,1191,14,,,,,,,,,,,,,,,,,,,,,98,14,,,,,40,13,,,,,86,18,,,,,,,92,11,,,,,,,,,1079,6,2276,7,,,,,,,,,,,,,85,10,,,,,27,2,,,,,,,,,23,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,395,16,12,6,50,16,,,,,,,,,,,,,,,,,,,,,350,16,,,,,1066,4,,,,,,,1291,9,,,,,,,,,,,,,,,,,,,,,,,23,11,,,,,55,9,,,,,122,16,,,,,,,,,,,,,78,8,,,,,28,15,,,,,45,14,,,,,,,,,47,12,,,,,,,,,,,,,,,,,,,,,,,665,12
2162,24748,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,6,,,,,16,27,,,,,,,119,13,,,,,27,28,1122,20,,,,,,,,,12154,5,,,671,24,,,,,,,118,16,,,1343,13,,,,,4,4,,,,,,,,,,,,,,,24,37,,,,,,,,,,,234,7,,,,,,,10,19,,,,,,,8,6,869,12,6,111,,,,,,,6,4,,,,,85,11,,,,,,,,,,,,,,,19,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72,48,6,10,,,,,,,,,,,,,,,,,,,,,,,436,12,,,,,184,25,,,,,15,11,4488,2,,,,,,,,,,,,,,,,,7,8,,,,,8,16,,,,,13,13,,,,,107,21,,,,,,,,,,,,,,,,,,,33,12,,,,,321,3,,,,,,,,,21,19,,,,,,,,,,,,,,,,,,,,,,,2197,6
2243,18398,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,13,,,,,,,,,,,,,,,7,45,,,,,,,,,,,,,,,4781,2,,,,,,,,,6587,15,,,,,,,,,,,,,,,1537,9,,,,,,,,,,,,,,,,,,,,,,,,,,,111,8,,,,,195,8,,,,,,,,,,,,,,,,,667,18,192,36,,,,,,,,,,,,,20,59,,,,,,,,,,,,,,,27,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1085,3,,,,,,,,,,,,,,,,,,,,,,,,,996,6,,,,,402,12,,,,,24,9,766,16,,,,,,,,,,,3,6,,,,,,,,,,,111,3,,,,,736,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111,36
